2022-Mar-14 09:12:07.141280 INFO    [daemon] 

 
                           .===;========.__, 
                           (/__)___________| 
     L___________,--,--/ /-,-,-/ /-,   ________ 
=====)o o o o ======== )) ____,===,___7_/_,_,_,_,'---,-, 
     `--._,_,_,-,--,--'' (____| _ |___ oo ; ; ; ; ; ;_____ T| 
              `-'--'-/_,-------| ) ___--,__,------._  __  |I| 
                        ==----/    / )/--/_         `-._`-'I| 
                       /=[  ]/     ` ==.- -             `-.L| 
                      /==---/            - -  
                      '-.__/              __7 

 2ACoin v2.1.4.145 ()
 This software is distributed under the General Public License v3.0

 Copyright 2018-2021, 2ACoin Developers

 Additional Copyright(s) may apply, please see the included LICENSE file for more information.
 If you did not receive a copy of the LICENSE, please visit:
 https://github.com/2acoin/2acoin/blob/master/LICENSE


2022-Mar-14 09:12:07.141675 INFO    [daemon] Program Working Directory: "/workspace/portal-vultr"
2022-Mar-14 09:12:07.143283 INFO    [daemon] Loading Checkpoints for faster initial sync...
2022-Mar-14 09:12:07.143462 INFO    [daemon] Loaded 217 default checkpoints
2022-Mar-14 09:12:07.146630 INFO    [RocksDBWrapper] Opening DB in /root/.2ACoin/DB
2022-Mar-14 09:12:07.153054 INFO    [RocksDBWrapper] DB not found in /root/.2ACoin/DB. Creating new DB...
2022-Mar-14 09:12:07.218712 INFO    [daemon] Initializing core...
2022-Mar-14 09:12:07.221147 INFO    [daemon] Core initialized OK
2022-Mar-14 09:12:07.222747 INFO    [daemon] Initializing p2p server...
2022-Mar-14 09:12:07.223168 INFO    [node_server] Generated new peer ID: 12486860946537205873
2022-Mar-14 09:12:07.223575 INFO    [node_server] Binding on 0.0.0.0:17890
2022-Mar-14 09:12:07.223804 INFO    [node_server] Net service bound on 0.0.0.0:17890
2022-Mar-14 09:12:07.224002 INFO    [node_server] Attempting to add IGD port mapping.
2022-Mar-14 09:12:11.231614 INFO    [node_server] No IGD was found.
2022-Mar-14 09:12:11.231747 INFO    [daemon] P2p server initialized OK
2022-Mar-14 09:12:11.231809 INFO    [daemon] Starting core rpc server on address 127.0.0.1:17910
2022-Mar-14 09:12:11.232054 INFO    [daemon] Starting p2p net loop...
2022-Mar-14 09:12:11.232123 INFO    [node_server] Starting node_server
2022-Mar-14 09:12:32.051989 INFO    [protocol] [108.61.205.5:17890 OUT] Your 2ACoin node is syncing with the network (0.00% complete) You are 1253419 blocks (1305 days) behind the current peer you're connected to. Please be patient! 
2022-Mar-14 09:12:32.052123 INFO    [protocol] New Top Block Detected: 1253420
2022-Mar-14 09:12:34.700053 INFO    [Core] Block 100 (035343ed37aac78b4a276ba3b61a661bfce56e2d3b402b5427485decb16a8d63) added to main chain
2022-Mar-14 09:12:35.589265 INFO    [Core] Block 200 (86ddb5ddaefa862c03d81e159852f045ba44c1a66fbc1c05d403989b3ce2350c) added to main chain
2022-Mar-14 09:12:37.402624 INFO    [Core] Block 300 (dcbbfbc1842b74376ad3d4539a0c7a412cbb99d5e67a3d10fce1209f72e45911) added to main chain
2022-Mar-14 09:12:39.293929 INFO    [Core] Block 400 (a79a5a3c80aa0413b1a77c0c8bf7406fcf096455085dbbbcd4f168986b982441) added to main chain
